LTL_Picker,LTL_Lines,Date
438,100,5/10/2006
230,208,5/10/2006
438,265,5/10/2006
415,75,5/10/2006
230,81,5/10/2006
176,65,5/10/2006
278,140,5/11/2006
248,140,5/11/2006
230,140,5/11/2006
176,477,5/11/2006
101,62,5/11/2006
438,64,5/11/2006
,,5/11/2006
en,12,5/11/2006
176,30,5/11/2006
230,82,5/11/2006
438,176,5/11/2006
en,12,5/12/2006
176,376,5/12/2006
278,144,5/12/2006
248,144,5/12/2006
230,144,5/12/2006
101,100,5/12/2006
438,75,5/12/2006
415,50,5/12/2006
176,49,5/12/2006
438,238,5/12/2006
415,135,5/12/2006
79,39,5/12/2006
B,49,5/12/2006
en,3,5/15/2006
176,444,5/15/2006
278,117,5/15/2006
248,117,5/15/2006
230,117,5/15/2006
278,56,5/15/2006
438,278,5/15/2006
176,56,5/15/2006
en,12,5/16/2006
176,479,5/16/2006
248,146,5/16/2006
230,146,5/16/2006
101,100,5/16/2006
438,104,5/16/2006
415,49,5/16/2006
d,34,5/16/2006
230,126,5/16/2006
176,71,5/16/2006
101,74,5/16/2006
79,100,5/16/2006
145,250,5/16/2006
en,9,5/17/2006
176,472,5/17/2006
278,150,5/17/2006
248,150,5/17/2006
101,100,5/17/2006
438,100,5/17/2006
415,83,5/17/2006
438,177,5/17/2006
415,228,5/17/2006
D,30,5/17/2006
176,57,5/17/2006
282,53,5/18/2006
437,36,5/18/2006
469,60,5/18/2006
446,25,5/18/2006
269,53,5/18/2006
468,17,5/18/2006
446,17,5/18/2006
269,25,5/18/2006
79,12,5/18/2006
79,33,5/18/2006
79,29,5/18/2006
446,83,5/18/2006
269,32,5/18/2006
437,68,5/18/2006
446,45,5/18/2006
282,64,5/18/2006
446,31,5/18/2006
79,46,5/18/2006
79,33,5/18/2006
79,49,5/18/2006
468,70,5/18/2006
79,14,5/18/2006
79,47,5/18/2006
79,13,5/18/2006
437,27,5/18/2006
79,25,5/18/2006
459,30,5/18/2006
468,28,5/18/2006
446,111,5/18/2006
79,9,5/18/2006
79,2,5/18/2006
79,12,5/18/2006
EN,9,5/19/2006
176,506,5/19/2006
278,175,5/19/2006
248,175,5/19/2006
415,50,5/19/2006
230,175,5/19/2006
278,70,5/19/2006
415,274,5/19/2006
176,41,5/19/2006
en,6,5/22/2006
176,500,5/22/2006
278,120,5/22/2006
248,120,5/22/2006
230,120,5/22/2006
101,50,5/22/2006
415,45,5/22/2006
248,56,5/22/2006
415,238,5/22/2006
145,200,5/22/2006
9005,25,5/22/2006
203,32,5/22/2006
en,10,5/23/2006
278,150,5/23/2006
248,150,5/23/2006
230,150,5/23/2006
176,500,5/23/2006
101,100,5/23/2006
415,61,5/23/2006
145,61,5/23/2006
176,50,5/23/2006
278,27,5/23/2006
415,225,5/23/2006
79,49,5/23/2006
203,65,5/23/2006
145,200,5/23/2006
en,8,5/24/2006
176,500,5/24/2006
278,132,5/24/2006
248,132,5/24/2006
230,132,5/24/2006
101,75,5/24/2006
415,50,5/24/2006
145,50,5/24/2006
278,45,5/24/2006
230,44,5/24/2006
415,250,5/24/2006
145,204,5/24/2006
203,25,5/24/2006
176,50,5/24/2006
en,8,5/25/2006
176,500,5/25/2006
101,71,5/25/2006
278,150,5/25/2006
248,150,5/25/2006
230,150,5/25/2006
145,50,5/25/2006
415,50,5/25/2006
278,222,5/25/2006
248,222,5/25/2006
230,222,5/25/2006
176,50,5/25/2006
79,9,5/25/2006
EN,12,5/26/2006
176,500,5/26/2006
248,150,5/26/2006
278,150,5/26/2006
230,150,5/26/2006
101,87,5/26/2006
415,50,5/26/2006
145,50,5/26/2006
106,65,5/26/2006
230,240,5/26/2006
415,275,5/26/2006
79,33,5/26/2006
176,30,5/26/2006
79,31,5/26/2006
EN,5,5/30/2006
176,482,5/30/2006
101,61,5/30/2006
278,125,5/30/2006
248,125,5/30/2006
230,125,5/30/2006
415,207,5/30/2006
230,165,5/30/2006
176,18,5/30/2006
145,42,5/30/2006
en,17,5/31/2006
248,150,5/31/2006
230,150,5/31/2006
176,550,5/31/2006
176,50,5/31/2006
101,100,5/31/2006
415,30,5/31/2006
145,31,5/31/2006
145,211,5/31/2006
145,15,5/31/2006
9000,200,5/31/2006
9001,50,5/31/2006
EN,17,6/1/2006
176,512,6/1/2006
278,117,6/1/2006
248,117,6/1/2006
230,117,6/1/2006
101,100,6/1/2006
415,67,6/1/2006
9000,65,6/1/2006
230,105,6/1/2006
176,38,6/1/2006
415,250,6/1/2006
203,43,6/1/2006
9000,87,6/1/2006
203,50,6/1/2006
EN,13,6/2/2006
176,481,6/2/2006
278,150,6/2/2006
248,150,6/2/2006
101,50,6/2/2006
230,150,6/2/2006
415,49,6/2/2006
230,163,6/2/2006
415,245,6/2/2006
176,19,6/2/2006
9001,25,6/2/2006
